#-----------------------------------------------------------
# xsim v2024.2 (64-bit)
# SW Build 5239630 on Fri Nov 08 22:35:27 MST 2024
# IP Build 5239520 on Sun Nov 10 16:12:51 MST 2024
# SharedData Build 5239561 on Fri Nov 08 14:39:27 MST 2024
# Start of session at: Wed Nov 12 22:59:08 2025
# Process ID         : 12428
# Current directory  : I:/testAPP/sim_work
# Command line       : xsim.exe -mode tcl -source {xsim.dir/tb_regtrace_sim/xsim_script.tcl}
# Log file           : I:/testAPP/sim_work/xsim.log
# Journal file       : I:/testAPP/sim_work\xsim.jou
# Running On         : DESKTOP-M79FMGV
# Platform           : Windows Server 2016 or Windows 10
# Operating System   : 19045
# Processor Detail   : Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz
# CPU Frequency      : 1800 MHz
# CPU Physical cores : 4
# CPU Logical cores  : 8
# Host memory        : 21344 MB
# Swap memory        : 5637 MB
# Total Virtual      : 26981 MB
# Available Virtual  : 11427 MB
#-----------------------------------------------------------
source xsim.dir/tb_regtrace_sim/xsim_script.tcl
# xsim {tb_regtrace_sim} -testplusarg LOGFILE=regtrace.txt -autoloadwcfg -runall
Time resolution is 1 ps
run -all
t=25000 PC=00000000 INSTR=00050113 pc_sel=0 alu_out=00000000
t=35000 PC=00000004 INSTR=00000097 pc_sel=0 alu_out=00000004
t=45000 PC=00000008 INSTR=038080e7 pc_sel=1 alu_out=0000003c
t=55000 PC=0000003c INSTR=08100293 pc_sel=0 alu_out=00000081
t=65000 PC=00000040 INSTR=00051337 pc_sel=0 alu_out=00000000
t=75000 PC=00000044 INSTR=61530313 pc_sel=0 alu_out=00051615
t=85000 PC=00000048 INSTR=057623b7 pc_sel=0 alu_out=00000000
t=95000 PC=0000004c INSTR=9f138393 pc_sel=0 alu_out=057619f1
t=105000 PC=00000050 INSTR=00100e13 pc_sel=0 alu_out=00000001
t=115000 PC=00000054 INSTR=00100e93 pc_sel=0 alu_out=00000001
t=125000 PC=00000058 INSTR=00c0006f pc_sel=1 alu_out=00000064
t=135000 PC=00000064 INSTR=01c60023 pc_sel=0 alu_out=00000000
t=145000 PC=00000068 INSTR=0006cf03 pc_sel=0 alu_out=00000000
t=155000 PC=0000006c INSTR=02ee8fb3 pc_sel=0 alu_out=00000001
